cluster1,cluster2,distance,sample_count
0.0,2466.0,0.0,2.0
7.0,74.0,0.0,2.0
901.0,2996.0,0.0,2.0
851.0,2340.0,0.0,2.0
11.0,2210.0,0.0,2.0
17.0,2067.0,0.0,2.0
18.0,2120.0,0.0,2.0
25.0,1028.0,0.0,2.0
33.0,576.0,0.0,2.0
37.0,2847.0,0.0,2.0
1280.0,2976.0,0.0,2.0
2076.0,2288.0,0.0,2.0
59.0,1117.0,0.0,2.0
1234.0,3012.0,0.0,3.0
1704.0,3013.0,0.0,4.0
2131.0,3014.0,0.0,5.0
47.0,887.0,0.0,2.0
2318.0,2587.0,0.0,2.0
1108.0,1372.0,0.0,2.0
1901.0,2047.0,0.0,2.0
50.0,635.0,0.0,2.0
232.0,633.0,0.0,2.0
1883.0,3021.0,0.0,3.0
656.0,3001.0,0.0,3.0
993.0,2386.0,0.0,2.0
85.0,488.0,0.0,2.0
89.0,812.0,0.0,2.0
91.0,464.0,0.0,2.0
97.0,2033.0,0.0,2.0
350.0,2223.0,0.0,2.0
111.0,271.0,0.0,2.0
2725.0,2813.0,0.0,2.0
430.0,2612.0,0.0,2.0
463.0,799.0,0.0,2.0
1483.0,3033.0,0.0,3.0
2915.0,3034.0,0.0,4.0
132.0,2670.0,0.0,2.0
1563.0,1647.0,0.0,2.0
2346.0,2363.0,0.0,2.0
145.0,400.0,0.0,2.0
148.0,2920.0,0.0,2.0
150.0,2692.0,0.0,2.0
155.0,1125.0,0.0,2.0
1004.0,2797.0,0.0,2.0
2923.0,3043.0,0.0,3.0
172.0,307.0,0.0,2.0
2022.0,2239.0,0.0,2.0
1457.0,1907.0,0.0,2.0
188.0,829.0,0.0,2.0
1140.0,2124.0,0.0,2.0
2799.0,3049.0,0.0,3.0
1861.0,1892.0,0.0,2.0
208.0,1682.0,0.0,2.0
1154.0,2764.0,0.0,2.0
397.0,2030.0,0.0,2.0
2686.0,3054.0,0.0,3.0
396.0,2069.0,0.0,2.0
212.0,2530.0,0.0,2.0
213.0,342.0,0.0,2.0
1943.0,2242.0,0.0,2.0
451.0,649.0,0.0,2.0
977.0,3060.0,0.0,3.0
2487.0,3061.0,0.0,4.0
218.0,516.0,0.0,2.0
221.0,401.0,0.0,2.0
1882.0,2169.0,0.0,2.0
228.0,1375.0,0.0,2.0
358.0,1182.0,0.0,2.0
1410.0,3067.0,0.0,3.0
2667.0,3068.0,0.0,4.0
236.0,1289.0,0.0,2.0
661.0,2461.0,0.0,2.0
441.0,3030.0,0.0,3.0
2698.0,3007.0,0.0,3.0
284.0,956.0,0.0,2.0
2888.0,2983.0,0.0,2.0
2271.0,3025.0,0.0,3.0
296.0,1027.0,0.0,2.0
303.0,718.0,0.0,2.0
1149.0,1233.0,0.0,2.0
363.0,3045.0,0.0,3.0
318.0,1279.0,0.0,2.0
319.0,2682.0,0.0,2.0
327.0,2084.0,0.0,2.0
833.0,1431.0,0.0,2.0
1660.0,3084.0,0.0,3.0
2306.0,3085.0,0.0,4.0
2747.0,3086.0,0.0,5.0
2902.0,3087.0,0.0,6.0
336.0,1917.0,0.0,2.0
2787.0,2950.0,0.0,2.0
815.0,1765.0,0.0,2.0
